Unnamed: 0,title,rating,salary,job,founded_in,field,other
127,Deutsche Bank,3.8,35900.0,370.0,1870 (156 yrs old),Banking , Surat +42 other locations
128,Motilal Oswal Financial Services,3.7,12900.0,51.0,,Financial Services , Surat +168 other locations
129,Team Lease,3.9,16000.0,53.0,2016 (10 yrs old),Recruitment , Surat +396 other locations
130,Berger Paints,3.7,10000.0,124.0,,Chemicals , Surat +354 other locations
131,VE Commercial Vehicles,3.9,14100.0,6.0,2008 (18 yrs old),Automobile , Surat +179 other locations
132,Lenskart,3.3,13200.0,126.0,,Internet , Surat +240 other locations
133,Thermax Limited,4.2,13100.0,73.0,1966 (60 yrs old),Industrial Machinery , Surat +250 other locations
134,Macleods Pharmaceuticals,3.7,15500.0,7.0,1986 (40 yrs old),Pharma , Surat +132 other locations
135,Bajaj Auto,3.8,14500.0,53.0,1945 (81 yrs old),Automobile , Surat +317 other locations
136,Aakash Educational Services,3.2,13700.0,67.0,1988 (38 yrs old),Education & Training , Surat +244 other locations
137,Kogta Financial India Limited,4.7,1800.0,111.0,1996 (30 yrs old),NBFC , Surat +259 other locations
138,Jubilant Foods Works,3.7,9200.0,191.0,1995 (31 yrs old),Hospitality , Surat +262 other locations
139,LG Electronics,3.9,11000.0,53.0,1958 (68 yrs old),Consumer Electronics & Appliances , Surat +298 other locations
140,Royal Enfield,4.2,14800.0,20.0,1901 (125 yrs old),Automobile , Surat +373 other locations
141,Hindalco Industries,4.2,12400.0,5.0,1958 (68 yrs old),Metals & Mining , Surat +127 other locations
142,Jindal Steel Limited,3.9,15600.0,26.0,1979 (47 yrs old),Iron & Steel , Surat +172 other locations
143,HDFC Ergo General Insurance,4.0,12100.0,11.0,2002 (24 yrs old),Insurance , Surat +324 other locations
144,Tata Communications,3.9,23500.0,37.0,1986 (40 yrs old),Telecom , Surat +102 other locations
145,John Deere,4.0,15200.0,1.0,2001 (25 yrs old),Industrial Machinery , Surat +155 other locations
146,DCB Bank,3.8,9400.0,8.0,,Banking , Surat +341 other locations
147,RBL Bank,3.5,18300.0,49.0,1943 (83 yrs old),Banking , Surat +284 other locations
148,Cummins,4.3,15600.0,7.0,1919 (107 yrs old),Industrial Machinery , Surat +114 other locations
149,Oyo Rooms,3.1,14400.0,132.0,2012 (14 yrs old),Internet , Surat +121 other locations
150,Pidilite Industries,4.2,11400.0,53.0,,Chemicals , Surat +312 other locations
151,Alembic Pharmaceuticals,3.9,15300.0,59.0,1907 (119 yrs old),Pharma , Surat +187 other locations
152,Reliance Communications,4.0,9500.0,53.0,2002 (24 yrs old),Telecom , Surat +467 other locations
153,PVR INOX,3.9,9400.0,17.0,,Media & Entertainment , Surat +150 other locations
